dynamicProperties;occurrenceID;collectionID;catalogNumber;preparastions;recordedBy;identifiedBy;eventDate;country;stateProvince;county;locality;decimalLatitude;decimalLongitude;minimumElevationInMeters;scientificName;taxoank;individualCount;class;order;family;genus;SD;specificEpithet
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 116;94;M8. CC. 116;Montaje en alfiler;A. Chica, L. Guevara;SD;09/06/2008;Colombia;Quindío;Salento;SD;SD;SD;1800;Tachinidae;Familia;1;Insecta;Diptera;Tachinidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 117;94;M8. CC. 117;Montaje en alfiler;SD;SD;10/08/1997;Colombia;Quindío;Salento;Boquía;SD;SD;1600;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 118;94;M8. CC. 118;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Muscidae;Familia;1;Insecta;Diptera;Muscidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 119;94;M8. CC. 119;Montaje en alfiler;D. Gómez;D. Gómez, M. Cruz;10/05/2008;Colombia;Quindío;Quimbaya;SD;SD;SD;1100;Calliphoridae;Familia;1;Insecta;Diptera;Calliphoridae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 120;94;M8. CC. 120;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 121;94;M8. CC. 121;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Sarcophagidae;Familia;1;Insecta;Diptera;Sarcophagidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CC 122;94;M8. CC. 122;Montaje en alfiler;F. Serna;SD;18/02/2003;Colombia;Quindío;Filandia;SD;SD;SD;SD;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 123;94;M8. CC. 123;Montaje en alfiler;González;Villegas, Pineda;10/05/2008;Colombia;Quindío;Quimbaya;SD;SD;SD;1100;Syrphidae;Familia;1;Insecta;Diptera;Syrphidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 124;94;M8. CC. 124;Montaje en alfiler;Gómez, D., Cruz, M.;Gómez, D., Cruz, M.;10/05/2008;Colombia;Quindio;Quimbaya;SD;SD;SD;1100;Calliphoridae;Familia;1;Insecta;Diptera;Calliphoridae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 125;94;M8. CC. 125;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Hymenoptera;Orden;1;Insecta;Hymenoptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 126;94;M8. CC. 126;Montaje en alfiler;M. Navarro;SD;21/09/1997;Colombia;Quindío;Armenia;SD;SD;SD;1500;Vespidae;Familia;1;Insecta;Hymenoptera;Vespidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CC 127;94;M8. CC. 127;Montaje en alfiler;F. Molano;SD;21/02/2003;Colombia;Quindío;Armenia;SD;SD;SD;SD;Hymenoptera;Orden;1;Insecta;Hymenoptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 128;94;M8. CC. 128;Montaje en alfiler;E. Medina, A. Villán;SD;23/10/1997;Colombia;Quindío;Calarcá;SD;SD;SD;1490;Sphecidae  SD;Género;1;Insecta;Hymenoptera;Vespidae;Sphecidae;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 129;94;M8. CC. 129;Montaje en alfiler;J. Molina, F. Molano;F. Molano;26-30/05/2003;Colombia;Choco;Acandí-Capurgana;SD;SD;SD;3;Vespidae;Familia;1;Insecta;Hymenoptera;Vespidae;SD;  ;SD
